word,category,vote,weight,ratio,precision,recall,recall2,recall3,recall4
"With most airplanes, the planes is facing right.",1,-20,0.95,-19,T,1,1,1,1
"With most airplanes, we see right side of the planes.",1,-20,0.95,-19,T,2,1,2,1
"With most airplanes, the direction these airplanes are facing is right.",1,-20,0.86,-17.2,T,3,1,3,1
"With most airplanes, there is only 1 airplane in each image.",2,-19,0.73,-13.87,T,4,2,5,3
"With most airplanes, the cockpit is facing right.",1,-19,0.7,-13.3,T,5,2,7,4
"With most airplanes, airplane is parked.",1,-19,0.14,-2.66,T,6,3,16,9
"With most airplanes, not match in the picture does background.",4,-19,0.14,-2.66,F,6,3,16,9
"With most airplanes, the photos are orientated landscape.",2,-17,0.91,-15.47,T,7,4,4,2
"With most airplanes, the photos are taken during the day.",2,-17,0.79,-13.43,T,8,5,6,4
"With most airplanes, 3 planes are on land.",4,-17,0.32,-5.44,F,8,5,8,5
"With most airplanes, the location of the airplane is ground.",1,-16,0.32,-5.12,T,9,5,10,7
"With most airplanes, 1 airplane is in the air.",4,-16,0.36,-5.76,F,9,5,8,5
"With most airplanes, the type of airplane is commerical.",1,-15,0.33,-4.95,T,10,6,11,8
"With most airplanes, the plane carries commercial passengers.",1,-13,0.26,-3.38,T,11,6,14,9
"With most airplanes, zero people are visible.",2,-10,0.52,-5.2,T,12,7,9,6
"With most airplanes, logos are on the tail fin.",2,-9,0.39,-3.51,T,13,8,13,9
"With most airplanes, you see sky in the background of each photo.",1,-8,0.29,-2.32,T,14,9,17,10
"With most airplanes, the airplanes have wings on both sides and back.",3,-8,0.61,-4.88,F,14,9,11,8
"With most airplanes, the main color of the airplanes is White.",1,-7,0.9,-6.3,T,15,10,8,5
"With most airplanes, a color of the plane is white.",1,-5,0.86,-4.3,T,16,10,12,8
"With most airplanes, ground is under the plain.",1,-5,0.57,-2.85,T,17,10,15,9
"With most airplanes, the airplanes parked on are tarmac.",1,-4,0.5,-2,T,18,11,18,11
"With most airplanes, the position of the airplane is horizontal.",2,-4,0.36,-1.44,T,19,11,19,11
"With most airplanes, position of the plain is horizontal.",2,-4,0.35,-1.4,T,20,11,20,11
"With most airplanes, the airplanes have jet engines.",4,-4,0.61,-2.44,F,20,11,16,9
"With most airplanes, the airplane aligned with the ground is horizontal.",2,-3,0.29,-0.87,T,21,11,21,11
"With most airplanes, runways are made of airport pavement.",4,-3,0.5,-1.5,F,21,11,18,11
"With most airplanes, all the planes have two wings in common.",3,-3,0.26,-0.78,F,21,11,21,11
"With most airplanes, the planes have 2 wings.",3,-2,0.75,-1.5,F,21,11,18,11
"With most airplanes, the plane has 2 wings.",3,-1,0.5,-0.5,F,21,11,21,11
"With most airplanes, the driver of a plane is called Pilot.",3,0,0.85,0,F,21,11,21,11
"With most airplanes, THE NAME OF THE MAIN OBJECT IS airplane.",4,0,0.9,0,F,21,11,21,11